goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=1232             	   10000	    221509 ns/op	     36116 sig/s	        27.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=1232             	   10000	    221405 ns/op	     36133 sig/s	        27.68 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=1232             	   10000	    221485 ns/op	     36120 sig/s	        27.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=1232             	   10000	    221533 ns/op	     36112 sig/s	        27.69 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=8/msg=1232             	   10000	    221653 ns/op	     36092 sig/s	        27.71 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13543	    177257 ns/op	     45132 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13539	    177318 ns/op	     45117 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13536	    177246 ns/op	     45135 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13536	    177327 ns/op	     45114 sig/s	        22.17 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13530	    177350 ns/op	     45109 sig/s	        22.17 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=8/msg=1232     	   13534	    177307 ns/op	     45120 sig/s	        22.16 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15505	    154764 ns/op	     51692 sig/s	        19.35 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15508	    154746 ns/op	     51698 sig/s	        19.34 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15510	    154758 ns/op	     51694 sig/s	        19.34 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=8/msg=1232 	   15512	    154746 ns/op	     51698 sig/s	        19.34 µs/sig	       0 B/op	       0 allocs/op
