goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54038	     22204 ns/op	  55.48 MB/s	     45036 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54067	     22206 ns/op	  55.48 MB/s	     45033 signatures/s	   1243136 table-bytes	        22.21 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54051	     22204 ns/op	  55.49 MB/s	     45038 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54050	     22205 ns/op	  55.48 MB/s	     45035 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54055	     22203 ns/op	  55.49 MB/s	     45038 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54039	     22208 ns/op	  55.48 MB/s	     45029 signatures/s	   1243136 table-bytes	        22.21 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54033	     22209 ns/op	  55.47 MB/s	     45026 signatures/s	   1243136 table-bytes	        22.21 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54043	     22204 ns/op	  55.48 MB/s	     45036 signatures/s	   1243136 table-bytes	        22.20 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=1        	   54009	     22213 ns/op	  55.46 MB/s	     45018 signatures/s	   1243136 table-bytes	        22.21 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26946	     44534 ns/op	  55.33 MB/s	     44910 signatures/s	   1243136 table-bytes	        22.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26948	     44537 ns/op	  55.32 MB/s	     44906 signatures/s	   1243136 table-bytes	        22.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26941	     44537 ns/op	  55.32 MB/s	     44906 signatures/s	   1243136 table-bytes	        22.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26947	     44534 ns/op	  55.33 MB/s	     44909 signatures/s	   1243136 table-bytes	        22.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26940	     44528 ns/op	  55.34 MB/s	     44916 signatures/s	   1243136 table-bytes	        22.26 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26947	     44528 ns/op	  55.34 MB/s	     44915 signatures/s	   1243136 table-bytes	        22.26 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26944	     44530 ns/op	  55.33 MB/s	     44914 signatures/s	   1243136 table-bytes	        22.26 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26934	     44533 ns/op	  55.33 MB/s	     44910 signatures/s	   1243136 table-bytes	        22.27 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26946	     44526 ns/op	  55.34 MB/s	     44917 signatures/s	   1243136 table-bytes	        22.26 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=2        	   26947	     44520 ns/op	  55.35 MB/s	     44924 signatures/s	   1243136 table-bytes	        22.26 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62754	     19105 ns/op	 257.94 MB/s	    209366 signatures/s	   1243136 table-bytes	         4.776 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62797	     19123 ns/op	 257.69 MB/s	    209168 signatures/s	   1243136 table-bytes	         4.781 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62730	     19119 ns/op	 257.75 MB/s	    209215 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62766	     19121 ns/op	 257.73 MB/s	    209196 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62748	     19120 ns/op	 257.74 MB/s	    209203 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62773	     19110 ns/op	 257.87 MB/s	    209311 signatures/s	   1243136 table-bytes	         4.778 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62778	     19117 ns/op	 257.77 MB/s	    209233 signatures/s	   1243136 table-bytes	         4.779 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62755	     19121 ns/op	 257.73 MB/s	    209198 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62736	     19121 ns/op	 257.73 MB/s	    209193 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=4        	   62779	     19121 ns/op	 257.73 MB/s	    209194 signatures/s	   1243136 table-bytes	         4.780 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34202	     35086 ns/op	 280.91 MB/s	    228011 signatures/s	   1243136 table-bytes	         4.386 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34208	     35074 ns/op	 281.01 MB/s	    228092 signatures/s	   1243136 table-bytes	         4.384 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34201	     35124 ns/op	 280.60 MB/s	    227763 signatures/s	   1243136 table-bytes	         4.391 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
BenchmarkPublicR51CacheVerifyBatchStrict/msg=1232/n=8        	   34220	     35071 ns/op	 281.03 MB/s	    228109 signatures/s	   1243136 table-bytes	         4.384 us/signature	        64.00 warm-tables	       0 B/op	       0 allocs/op
