goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74541	     32216 ns/op	         8.054 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74583	     32170 ns/op	         8.043 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74540	     32207 ns/op	         8.052 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74539	     32203 ns/op	         8.051 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74572	     32194 ns/op	         8.049 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74538	     32199 ns/op	         8.050 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74541	     32192 ns/op	         8.048 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=4/msg=1232        	   74554	     32188 ns/op	         8.047 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53660	     44707 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53709	     44688 ns/op	        22.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53694	     44689 ns/op	        22.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53679	     44712 ns/op	        22.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53685	     44700 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53689	     44714 ns/op	        22.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53690	     44712 ns/op	        22.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53671	     44726 ns/op	        22.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53631	     44737 ns/op	        22.37 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=2/msg=4096                  	   53616	     44749 ns/op	        22.37 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53656	     44713 ns/op	        22.36 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53707	     44693 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53710	     44666 ns/op	        22.33 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53743	     44671 ns/op	        22.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53720	     44763 ns/op	        22.38 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53662	     44699 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53695	     44692 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53725	     44703 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53706	     44700 ns/op	        22.35 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4-wide-hash/n=2/msg=4096        	   53692	     44679 ns/op	        22.34 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52315	     45914 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52291	     45892 ns/op	        11.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52327	     45894 ns/op	        11.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52258	     45918 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52242	     45897 ns/op	        11.47 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52293	     45912 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52275	     45901 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52255	     45936 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51IFMAPartialX8TailCompletePipeline/path=x4/n=4/msg=4096                  	   52220	     45927 ns/op	        11.48 us/signature	       0 B/op	       0 allocs/op
