goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya/ed25519
cpu: AMD Ryzen 7 PRO 8700GE w/ Radeon 780M Graphics
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29530	    121932 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29532	    121910 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29530	    121982 ns/op	        15.25 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29529	    121935 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29523	    121933 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29527	    121904 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29527	    121883 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=8/path=public-wrapper      	   29538	    121883 ns/op	        15.24 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core       	    3760	    957622 ns/op	        14.96 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core       	    3754	    958277 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core       	    3756	    958461 ns/op	        14.98 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core       	    3756	    957785 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core       	    3758	    958060 ns/op	        14.97 us/signature	       0 B/op	       0 allocs/op
BenchmarkR51PublicWrapperGate/msg=176/n=64/path=private-core
