goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/narya-ed25519/ed25519
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     682	   1757032 ns/op	     36425 sig/s	        27.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     681	   1757344 ns/op	     36419 sig/s	        27.46 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     682	   1756278 ns/op	     36441 sig/s	        27.44 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     682	   1757016 ns/op	     36425 sig/s	        27.45 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     684	   1752239 ns/op	     36525 sig/s	        27.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=go-stdlib-loop/n=64/msg=1232            	     684	   1752240 ns/op	     36525 sig/s	        27.38 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1400677 ns/op	     45692 sig/s	        21.89 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1400788 ns/op	     45689 sig/s	        21.89 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1401607 ns/op	     45662 sig/s	        21.90 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1401394 ns/op	     45669 sig/s	        21.90 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1401530 ns/op	     45664 sig/s	        21.90 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-cold-loop/n=64/msg=1232    	     855	   1401353 ns/op	     45670 sig/s	        21.90 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220299 ns/op	     52446 sig/s	        19.07 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220141 ns/op	     52453 sig/s	        19.06 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220162 ns/op	     52452 sig/s	        19.07 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220207 ns/op	     52450 sig/s	        19.07 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220155 ns/op	     52452 sig/s	        19.06 µs/sig	       0 B/op	       0 allocs/op
BenchmarkEd25519CrossLibrary/mode=independent/impl=oasis-strict-expanded-loop/n=64/msg=1232         	     982	   1220217 ns/op	     52450 sig/s	        19.07 µs/sig	       0 B/op	       0 allocs/op
PASS
ok  	github.com/Overclock-Validator/narya-ed25519/ed25519	176.351s
